a b c | 1.1 2.1 3.1 d
c d a | 1.2 2.1 3.2 e
c d a | 1.3 2.1 3.1 e
c d a | 1.3 2.1 3.2 e
c d a | 1.1 2.2 3.1 e
c d a | 1.1 2.2 3.2 e
c d a | 1.2 2.2 3.1 e
c d a | 1.2 2.2 3.2 e
c d a | 1.3 2.2 3.1 e
c d a | 1.3 2.2 3.2 e
c d b | 1.1 2.1 3.1 a
c d b | 1.1 2.1 3.2 a
c d b | 1.2 2.1 3.1 a
c d b | 1.2 2.1 3.2 a
c d b | 1.3 2.1 3.1 a
c d b | 1.3 2.1 3.2 a
c d b | 1.1 2.2 3.1 a
c d b | 1.1 2.2 3.2 a
c d b | 1.2 2.2 3.1 a
c d b | 1.2 2.2 3.2 a
c d b | 1.3 2.2 3.1 a
c d b | 1.3 2.2 3.2 a
c d b | 1.1 2.1 3.1 e
c d b | 1.1 2.1 3.2 e
c d b | 1.2 2.1 3.1 e
c d b | 1.2 2.1 3.2 e
c d b | 1.3 2.1 3.1 e
c d b | 1.3 2.1 3.2 e
c d b | 1.1 2.2 3.1 e
c d b | 1.1 2.2 3.2 e
c d b | 1.2 2.2 3.1 e
c d b | 1.2 2.2 3.2 e
c d b | 1.3 2.2 3.1 e
c d b | 1.3 2.2 3.2 e
c d e | 1.1 2.1 3.1 a
c d e | 1.1 2.1 3.2 a
c d e | 1.2 2.1 3.1 a
c d e | 1.2 2.1 3.2 a
c d e | 1.3 2.1 3.1 a
c d e | 1.3 2.1 3.2 a
c d e | 1.1 2.2 3.1 a
c d e | 1.1 2.2 3.2 a
c d e | 1.2 2.2 3.1 a
c d e | 1.2 2.2 3.2 a
c d e | 1.3 2.2 3.1 a
c d e | 1.3 2.2 3.2 a
c d e | 1.1 2.1 3.1 b
c d e | 1.1 2.1 3.2 b
c d e | 1.2 2.1 3.1 b
c d e | 1.2 2.1 3.2 b
c d e | 1.3 2.1 3.1 b
c d e | 1.3 2.1 3.2 b
c d e | 1.1 2.2 3.1 b
c d e | 1.1 2.2 3.2 b
c d e | 1.2 2.2 3.1 b
c d e | 1.2 2.2 3.2 b
c d e | 1.3 2.2 3.1 b
c d e | 1.3 2.2 3.2 b
c e a | 1.1 2.1 3.1 b
c e a | 1.1 2.1 3.2 b
c e a | 1.2 2.1 3.1 b
c e a | 1.2 2.1 3.2 b
c e a | 1.3 2.1 3.1 b
c e a | 1.3 2.1 3.2 b
c e a | 1.1 2.2 3.1 b
c e a | 1.1 2.2 3.2 b
c e a | 1.2 2.2 3.1 b
c e a | 1.2 2.2 3.2 b
c e a | 1.3 2.2 3.1 b
c e a | 1.3 2.2 3.2 b
c e a | 1.1 2.1 3.1 d
c e a | 1.1 2.1 3.2 d
c e a | 1.2 2.1 3.1 d
c e a | 1.2 2.1 3.2 d
c e a | 1.3 2.1 3.1 d
c e a | 1.3 2.1 3.2 d
c e a | 1.1 2.2 3.1 d
c e a | 1.1 2.2 3.2 d
c e a | 1.2 2.2 3.1 d
c e a | 1.2 2.2 3.2 d
c e a | 1.3 2.2 3.1 d
c e a | 1.3 2.2 3.2 d
c e b | 1.1 2.1 3.1 a
c e b | 1.1 2.1 3.2 a
c e b | 1.2 2.1 3.1 a
c e b | 1.2 2.1 3.2 a
c e b | 1.3 2.1 3.1 a
c e b | 1.3 2.1 3.2 a
c e b | 1.1 2.2 3.1 a
c e b | 1.1 2.2 3.2 a
c e b | 1.2 2.2 3.1 a
c e b | 1.2 2.2 3.2 a
c e b | 1.3 2.2 3.1 a
c e b | 1.3 2.2 3.2 a
c e b | 1.1 2.1 3.1 d
c e b | 1.1 2.1 3.2 d
c e b | 1.2 2.1 3.1 d
c e b | 1.2 2.1 3.2 d
c e b | 1.3 2.1 3.1 d
c e b | 1.3 2.1 3.2 d
c e b | 1.1 2.2 3.1 d
c e b | 1.1 2.2 3.2 d
c e b | 1.2 2.2 3.1 d
c e b | 1.2 2.2 3.2 d
c e b | 1.3 2.2 3.1 d
c e b | 1.3 2.2 3.2 d
c e d | 1.1 2.1 3.1 a
c e d | 1.1 2.1 3.2 a
c e d | 1.2 2.1 3.1 a
c e d | 1.2 2.1 3.2 a
c e d | 1.3 2.1 3.1 a
c e d | 1.3 2.1 3.2 a
c e d | 1.1 2.2 3.1 a
c e d | 1.1 2.2 3.2 a
c e d | 1.2 2.2 3.1 a
c e d | 1.2 2.2 3.2 a
c e d | 1.3 2.2 3.1 a
c e d | 1.3 2.2 3.2 a
c e d | 1.1 2.1 3.1 b
c e d | 1.1 2.1 3.2 b
c e d | 1.2 2.1 3.1 b
c e d | 1.2 2.1 3.2 b
c e d | 1.3 2.1 3.1 b
c e d | 1.3 2.1 3.2 b
c e d | 1.1 2.2 3.1 b
c e d | 1.1 2.2 3.2 b
c e d | 1.2 2.2 3.1 b
c e d | 1.2 2.2 3.2 b
c e d | 1.3 2.2 3.1 b
c e d | 1.3 2.2 3.2 b
d a b | 1.1 2.1 3.1 c
d a b | 1.1 2.1 3.2 c
d a b | 1.2 2.1 3.1 c
d a b | 1.2 2.1 3.2 c
d a b | 1.3 2.1 3.1 c
d a b | 1.3 2.1 3.2 c
d a b | 1.1 2.2 3.1 c
d a b | 1.1 2.2 3.2 c
d a b | 1.2 2.2 3.1 c
d a b | 1.2 2.2 3.2 c
d a b | 1.3 2.2 3.1 c
d a b | 1.3 2.2 3.2 c
d a b | 1.1 2.1 3.1 e
d a b | 1.1 2.1 3.2 e
d a b | 1.2 2.1 3.1 e
d a b | 1.2 2.1 3.2 e
d a b | 1.3 2.1 3.1 e
d a b | 1.3 2.1 3.2 e
d a b | 1.1 2.2 3.1 e
d a b | 1.1 2.2 3.2 e
d a b | 1.2 2.2 3.1 e
d a b | 1.2 2.2 3.2 e
d a b | 1.3 2.2 3.1 e
d a b | 1.3 2.2 3.2 e
d a c | 1.1 2.1 3.1 b
d a c | 1.1 2.1 3.2 b
d a c | 1.2 2.1 3.1 b
d a c | 1.2 2.1 3.2 b
d a c | 1.3 2.1 3.1 b
d a c | 1.3 2.1 3.2 b
d a c | 1.1 2.2 3.1 b
d a c | 1.1 2.2 3.2 b
d a c | 1.2 2.2 3.1 b
d a c | 1.2 2.2 3.2 b
d a c | 1.3 2.2 3.1 b
d a c | 1.3 2.2 3.2 b
d a c | 1.1 2.1 3.1 e
d a c | 1.1 2.1 3.2 e
d a c | 1.2 2.1 3.1 e
d a c | 1.2 2.1 3.2 e
d a c | 1.3 2.1 3.1 e
d a c | 1.3 2.1 3.2 e
d a c | 1.1 2.2 3.1 e
d a c | 1.1 2.2 3.2 e
d a c | 1.2 2.2 3.1 e
d a c | 1.2 2.2 3.2 e
d a c | 1.3 2.2 3.1 e
d a c | 1.3 2.2 3.2 e
d a e | 1.1 2.1 3.1 b
d a e | 1.1 2.1 3.2 b
d a e | 1.2 2.1 3.1 b
d a e | 1.2 2.1 3.2 b
d a e | 1.3 2.1 3.1 b
d a e | 1.3 2.1 3.2 b
d a e | 1.1 2.2 3.1 b
d a e | 1.1 2.2 3.2 b
d a e | 1.2 2.2 3.1 b
d a e | 1.2 2.2 3.2 b
d a e | 1.3 2.2 3.1 b
d a e | 1.3 2.2 3.2 b
d a e | 1.1 2.1 3.1 c
d a e | 1.1 2.1 3.2 c
d a e | 1.2 2.1 3.1 c
d a e | 1.2 2.1 3.2 c
d a e | 1.3 2.1 3.1 c
d a e | 1.3 2.1 3.2 c
d a e | 1.1 2.2 3.1 c
d a e | 1.1 2.2 3.2 c
d a e | 1.2 2.2 3.1 c
d a e | 1.2 2.2 3.2 c
d a e | 1.3 2.2 3.1 c
d a e | 1.3 2.2 3.2 c
d b a | 1.1 2.1 3.1 c
d b a | 1.1 2.1 3.2 c
d b a | 1.2 2.1 3.1 c
d b a | 1.2 2.1 3.2 c
d b a | 1.3 2.1 3.1 c
d b a | 1.3 2.1 3.2 c
d b a | 1.1 2.2 3.1 c
d b a | 1.1 2.2 3.2 c
d b a | 1.2 2.2 3.1 c
d b a | 1.2 2.2 3.2 c
d b a | 1.3 2.2 3.1 c
d b a | 1.3 2.2 3.2 c
d b a | 1.1 2.1 3.1 e
d b a | 1.1 2.1 3.2 e
d b a | 1.2 2.1 3.1 e
d b a | 1.2 2.1 3.2 e
d b a | 1.3 2.1 3.1 e
d b a | 1.3 2.1 3.2 e
d b a | 1.1 2.2 3.1 e
d b a | 1.1 2.2 3.2 e
d b a | 1.2 2.2 3.1 e
d b a | 1.2 2.2 3.2 e
d b a | 1.3 2.2 3.1 e
d b a | 1.3 2.2 3.2 e
d b c | 1.1 2.1 3.1 a
d b c | 1.1 2.1 3.2 a
d b c | 1.2 2.1 3.1 a
d b c | 1.2 2.1 3.2 a
d b c | 1.3 2.1 3.1 a
d b c | 1.3 2.1 3.2 a
d b c | 1.1 2.2 3.1 a
d b c | 1.1 2.2 3.2 a
d b c | 1.2 2.2 3.1 a
d b c | 1.2 2.2 3.2 a
d b c | 1.3 2.2 3.1 a
d b c | 1.3 2.2 3.2 a
d b c | 1.1 2.1 3.1 e
d b c | 1.1 2.1 3.2 e
d b c | 1.2 2.1 3.1 e
d b c | 1.2 2.1 3.2 e
d b c | 1.3 2.1 3.1 e
d b c | 1.3 2.1 3.2 e
d b c | 1.1 2.2 3.1 e
d b c | 1.1 2.2 3.2 e
d b c | 1.2 2.2 3.1 e
d b c | 1.2 2.2 3.2 e
d b c | 1.3 2.2 3.1 e
d b c | 1.3 2.2 3.2 e
d b e | 1.1 2.1 3.1 a
d b e | 1.1 2.1 3.2 a
d b e | 1.2 2.1 3.1 a
d b e | 1.2 2.1 3.2 a
d b e | 1.3 2.1 3.1 a
d b e | 1.3 2.1 3.2 a
d b e | 1.1 2.2 3.1 a
d b e | 1.1 2.2 3.2 a
d b e | 1.2 2.2 3.1 a
d b e | 1.2 2.2 3.2 a
d b e | 1.3 2.2 3.1 a
d b e | 1.3 2.2 3.2 a
d b e | 1.1 2.1 3.1 c
d b e | 1.1 2.1 3.2 c
d b e | 1.2 2.1 3.1 c
d b e | 1.2 2.1 3.2 c
d b e | 1.3 2.1 3.1 c
d b e | 1.3 2.1 3.2 c
d b e | 1.1 2.2 3.1 c
d b e | 1.1 2.2 3.2 c
d b e | 1.2 2.2 3.1 c
d b e | 1.2 2.2 3.2 c
d b e | 1.3 2.2 3.1 c
d b e | 1.3 2.2 3.2 c
d c a | 1.1 2.1 3.1 b
d c a | 1.1 2.1 3.2 b
d c a | 1.2 2.1 3.1 b
d c a | 1.2 2.1 3.2 b
d c a | 1.3 2.1 3.1 b
d c a | 1.3 2.1 3.2 b
d c a | 1.1 2.2 3.1 b
d c a | 1.1 2.2 3.2 b
d c a | 1.2 2.2 3.1 b
d c a | 1.2 2.2 3.2 b
d c a | 1.3 2.2 3.1 b
d c a | 1.3 2.2 3.2 b
d c a | 1.1 2.1 3.1 e
d c a | 1.1 2.1 3.2 e
d c a | 1.2 2.1 3.1 e
d c a | 1.2 2.1 3.2 e
d c a | 1.3 2.1 3.1 e
d c a | 1.3 2.1 3.2 e
d c a | 1.1 2.2 3.1 e
d c a | 1.1 2.2 3.2 e
d c a | 1.2 2.2 3.1 e
d c a | 1.2 2.2 3.2 e
d c a | 1.3 2.2 3.1 e
d c a | 1.3 2.2 3.2 e
d c b | 1.1 2.1 3.1 a
d c b | 1.1 2.1 3.2 a
d c b | 1.2 2.1 3.1 a
d c b | 1.2 2.1 3.2 a
d c b | 1.3 2.1 3.1 a
d c b | 1.3 2.1 3.2 a
d c b | 1.1 2.2 3.1 a
d c b | 1.1 2.2 3.2 a
d c b | 1.2 2.2 3.1 a
d c b | 1.2 2.2 3.2 a
d c b | 1.3 2.2 3.1 a
d c b | 1.3 2.2 3.2 a
d c b | 1.1 2.1 3.1 e
d c b | 1.1 2.1 3.2 e
d c b | 1.2 2.1 3.1 e
d c b | 1.2 2.1 3.2 e
d c b | 1.3 2.1 3.1 e
d c b | 1.3 2.1 3.2 e
d c b | 1.1 2.2 3.1 e
d c b | 1.1 2.2 3.2 e
d c b | 1.2 2.2 3.1 e
d c b | 1.2 2.2 3.2 e
d c b | 1.3 2.2 3.1 e
d c b | 1.3 2.2 3.2 e
d c e | 1.1 2.1 3.1 a
d c e | 1.1 2.1 3.2 a
d c e | 1.2 2.1 3.1 a
d c e | 1.2 2.1 3.2 a
d c e | 1.3 2.1 3.1 a
d c e | 1.3 2.1 3.2 a
d c e | 1.1 2.2 3.1 a
d c e | 1.1 2.2 3.2 a
d c e | 1.2 2.2 3.1 a
d c e | 1.2 2.2 3.2 a
d c e | 1.3 2.2 3.1 a
d c e | 1.3 2.2 3.2 a
d c e | 1.1 2.1 3.1 b
d c e | 1.1 2.1 3.2 b
d c e | 1.2 2.1 3.1 b
d c e | 1.2 2.1 3.2 b
d c e | 1.3 2.1 3.1 b
d c e | 1.3 2.1 3.2 b
d c e | 1.1 2.2 3.1 b
d c e | 1.1 2.2 3.2 b
d c e | 1.2 2.2 3.1 b
d c e | 1.2 2.2 3.2 b
d c e | 1.3 2.2 3.1 b
d c e | 1.3 2.2 3.2 b
d e a | 1.1 2.1 3.1 b
d e a | 1.1 2.1 3.2 b
d e a | 1.2 2.1 3.1 b
d e a | 1.2 2.1 3.2 b
d e a | 1.3 2.1 3.1 b
d e a | 1.3 2.1 3.2 b
d e a | 1.1 2.2 3.1 b
d e a | 1.1 2.2 3.2 b
d e a | 1.2 2.2 3.1 b
d e a | 1.2 2.2 3.2 b
d e a | 1.3 2.2 3.1 b
d e a | 1.3 2.2 3.2 b
d e a | 1.1 2.1 3.1 c
d e a | 1.1 2.1 3.2 c
d e a | 1.2 2.1 3.1 c
d e a | 1.2 2.1 3.2 c
d e a | 1.3 2.1 3.1 c
d e a | 1.3 2.1 3.2 c
d e a | 1.1 2.2 3.1 c
d e a | 1.1 2.2 3.2 c
d e a | 1.2 2.2 3.1 c
d e a | 1.2 2.2 3.2 c
d e a | 1.3 2.2 3.1 c
d e a | 1.3 2.2 3.2 c
d e b | 1.1 2.1 3.1 a
d e b | 1.1 2.1 3.2 a
d e b | 1.2 2.1 3.1 a
d e b | 1.2 2.1 3.2 a
d e b | 1.3 2.1 3.1 a
d e b | 1.3 2.1 3.2 a
d e b | 1.1 2.2 3.1 a
d e b | 1.1 2.2 3.2 a
d e b | 1.2 2.2 3.1 a
d e b | 1.2 2.2 3.2 a
d e b | 1.3 2.2 3.1 a
d e b | 1.3 2.2 3.2 a
d e b | 1.1 2.1 3.1 c
d e b | 1.1 2.1 3.2 c
d e b | 1.2 2.1 3.1 c
d e b | 1.2 2.1 3.2 c
d e b | 1.3 2.1 3.1 c
d e b | 1.3 2.1 3.2 c
d e b | 1.1 2.2 3.1 c
d e b | 1.1 2.2 3.2 c
d e b | 1.2 2.2 3.1 c
d e b | 1.2 2.2 3.2 c
d e b | 1.3 2.2 3.1 c
d e b | 1.3 2.2 3.2 c
d e c | 1.1 2.1 3.1 a
d e c | 1.1 2.1 3.2 a
d e c | 1.2 2.1 3.1 a
d e c | 1.2 2.1 3.2 a
d e c | 1.3 2.1 3.1 a
d e c | 1.3 2.1 3.2 a
d e c | 1.1 2.2 3.1 a
d e c | 1.1 2.2 3.2 a
d e c | 1.2 2.2 3.1 a
d e c | 1.2 2.2 3.2 a
d e c | 1.3 2.2 3.1 a
d e c | 1.3 2.2 3.2 a
d e c | 1.1 2.1 3.1 b
d e c | 1.1 2.1 3.2 b
d e c | 1.2 2.1 3.1 b
d e c | 1.2 2.1 3.2 b
d e c | 1.3 2.1 3.1 b
d e c | 1.3 2.1 3.2 b
d e c | 1.1 2.2 3.1 b
d e c | 1.1 2.2 3.2 b
d e c | 1.2 2.2 3.1 b
d e c | 1.2 2.2 3.2 b
d e c | 1.3 2.2 3.1 b
d e c | 1.3 2.2 3.2 b
e a b | 1.1 2.1 3.1 c
e a b | 1.1 2.1 3.2 c
e a b | 1.2 2.1 3.1 c
e a b | 1.2 2.1 3.2 c
e a b | 1.3 2.1 3.1 c
e a b | 1.3 2.1 3.2 c
e a b | 1.1 2.2 3.1 c
e a b | 1.1 2.2 3.2 c
e a b | 1.2 2.2 3.1 c
e a b | 1.2 2.2 3.2 c
e a b | 1.3 2.2 3.1 c
e a b | 1.3 2.2 3.2 c
e a b | 1.1 2.1 3.1 d
e a b | 1.1 2.1 3.2 d
e a b | 1.2 2.1 3.1 d
e a b | 1.2 2.1 3.2 d
e a b | 1.3 2.1 3.1 d
e a b | 1.3 2.1 3.2 d
e a b | 1.1 2.2 3.1 d
e a b | 1.1 2.2 3.2 d
e a b | 1.2 2.2 3.1 d
e a b | 1.2 2.2 3.2 d
e a b | 1.3 2.2 3.1 d
e a b | 1.3 2.2 3.2 d
e a c | 1.1 2.1 3.1 b
e a c | 1.1 2.1 3.2 b
e a c | 1.2 2.1 3.1 b
e a c | 1.2 2.1 3.2 b
e a c | 1.3 2.1 3.1 b
e a c | 1.3 2.1 3.2 b
e a c | 1.1 2.2 3.1 b
e a c | 1.1 2.2 3.2 b
e a c | 1.2 2.2 3.1 b
e a c | 1.2 2.2 3.2 b
e a c | 1.3 2.2 3.1 b
e a c | 1.3 2.2 3.2 b
e a c | 1.1 2.1 3.1 d
e a c | 1.1 2.1 3.2 d
e a c | 1.2 2.1 3.1 d
e a c | 1.2 2.1 3.2 d
e a c | 1.3 2.1 3.1 d
e a c | 1.3 2.1 3.2 d
e a c | 1.1 2.2 3.1 d
e a c | 1.1 2.2 3.2 d
e a c | 1.2 2.2 3.1 d
e a c | 1.2 2.2 3.2 d
e a c | 1.3 2.2 3.1 d
e a c | 1.3 2.2 3.2 d
e a d | 1.1 2.1 3.1 b
e a d | 1.1 2.1 3.2 b
e a d | 1.2 2.1 3.1 b
e a d | 1.2 2.1 3.2 b
e a d | 1.3 2.1 3.1 b
e a d | 1.3 2.1 3.2 b
e a d | 1.1 2.2 3.1 b
e a d | 1.1 2.2 3.2 b
e a d | 1.2 2.2 3.1 b
e a d | 1.2 2.2 3.2 b
e a d | 1.3 2.2 3.1 b
e a d | 1.3 2.2 3.2 b
e a d | 1.1 2.1 3.1 c
e a d | 1.1 2.1 3.2 c
e a d | 1.2 2.1 3.1 c
e a d | 1.2 2.1 3.2 c
e a d | 1.3 2.1 3.1 c
e a d | 1.3 2.1 3.2 c
e a d | 1.1 2.2 3.1 c
e a d | 1.1 2.2 3.2 c
e a d | 1.2 2.2 3.1 c
e a d | 1.2 2.2 3.2 c
e a d | 1.3 2.2 3.1 c
e a d | 1.3 2.2 3.2 c
e b a | 1.1 2.1 3.1 c
e b a | 1.1 2.1 3.2 c
e b a | 1.2 2.1 3.1 c
e b a | 1.2 2.1 3.2 c
e b a | 1.3 2.1 3.1 c
e b a | 1.3 2.1 3.2 c
e b a | 1.1 2.2 3.1 c
e b a | 1.1 2.2 3.2 c
e b a | 1.2 2.2 3.1 c
e b a | 1.2 2.2 3.2 c
e b a | 1.3 2.2 3.1 c
e b a | 1.3 2.2 3.2 c
e b a | 1.1 2.1 3.1 d
e b a | 1.1 2.1 3.2 d
e b a | 1.2 2.1 3.1 d
e b a | 1.2 2.1 3.2 d
e b a | 1.3 2.1 3.1 d
e b a | 1.3 2.1 3.2 d
e b a | 1.1 2.2 3.1 d
e b a | 1.1 2.2 3.2 d
e b a | 1.2 2.2 3.1 d
e b a | 1.2 2.2 3.2 d
e b a | 1.3 2.2 3.1 d
e b a | 1.3 2.2 3.2 d
e b c | 1.1 2.1 3.1 a
e b c | 1.1 2.1 3.2 a
e b c | 1.2 2.1 3.1 a
e b c | 1.2 2.1 3.2 a
e b c | 1.3 2.1 3.1 a
e b c | 1.3 2.1 3.2 a
e b c | 1.1 2.2 3.1 a
e b c | 1.1 2.2 3.2 a
e b c | 1.2 2.2 3.1 a
e b c | 1.2 2.2 3.2 a
e b c | 1.3 2.2 3.1 a
e b c | 1.3 2.2 3.2 a
e b c | 1.1 2.1 3.1 d
e b c | 1.1 2.1 3.2 d
e b c | 1.2 2.1 3.1 d
e b c | 1.2 2.1 3.2 d
e b c | 1.3 2.1 3.1 d
e b c | 1.3 2.1 3.2 d
e b c | 1.1 2.2 3.1 d
e b c | 1.1 2.2 3.2 d
e b c | 1.2 2.2 3.1 d
e b c | 1.2 2.2 3.2 d
e b c | 1.3 2.2 3.1 d
e b c | 1.3 2.2 3.2 d
e b d | 1.1 2.1 3.1 a
e b d | 1.1 2.1 3.2 a
e b d | 1.2 2.1 3.1 a
e b d | 1.2 2.1 3.2 a
e b d | 1.3 2.1 3.1 a
e b d | 1.3 2.1 3.2 a
e b d | 1.1 2.2 3.1 a
e b d | 1.1 2.2 3.2 a
e b d | 1.2 2.2 3.1 a
e b d | 1.2 2.2 3.2 a
e b d | 1.3 2.2 3.1 a
e b d | 1.3 2.2 3.2 a
e b d | 1.1 2.1 3.1 c
e b d | 1.1 2.1 3.2 c
e b d | 1.2 2.1 3.1 c
e b d | 1.2 2.1 3.2 c
e b d | 1.3 2.1 3.1 c
e b d | 1.3 2.1 3.2 c
e b d | 1.1 2.2 3.1 c
e b d | 1.1 2.2 3.2 c
e b d | 1.2 2.2 3.1 c
e b d | 1.2 2.2 3.2 c
e b d | 1.3 2.2 3.1 c
e b d | 1.3 2.2 3.2 c
e c a | 1.1 2.1 3.1 b
e c a | 1.1 2.1 3.2 b
e c a | 1.2 2.1 3.1 b
e c a | 1.2 2.1 3.2 b
e c a | 1.3 2.1 3.1 b
e c a | 1.3 2.1 3.2 b
e c a | 1.1 2.2 3.1 b
e c a | 1.1 2.2 3.2 b
e c a | 1.2 2.2 3.1 b
e c a | 1.2 2.2 3.2 b
e c a | 1.3 2.2 3.1 b
e c a | 1.3 2.2 3.2 b
e c a | 1.1 2.1 3.1 d
e c a | 1.1 2.1 3.2 d
e c a | 1.2 2.1 3.1 d
e c a | 1.2 2.1 3.2 d
e c a | 1.3 2.1 3.1 d
e c a | 1.3 2.1 3.2 d
e c a | 1.1 2.2 3.1 d
e c a | 1.1 2.2 3.2 d
e c a | 1.2 2.2 3.1 d
e c a | 1.2 2.2 3.2 d
e c a | 1.3 2.2 3.1 d
e c a | 1.3 2.2 3.2 d
e c b | 1.1 2.1 3.1 a
e c b | 1.1 2.1 3.2 a
e c b | 1.2 2.1 3.1 a
e c b | 1.2 2.1 3.2 a
e c b | 1.3 2.1 3.1 a
e c b | 1.3 2.1 3.2 a
e c b | 1.1 2.2 3.1 a
e c b | 1.1 2.2 3.2 a
e c b | 1.2 2.2 3.1 a
e c b | 1.2 2.2 3.2 a
e c b | 1.3 2.2 3.1 a
e c b | 1.3 2.2 3.2 a
e c b | 1.1 2.1 3.1 d
e c b | 1.1 2.1 3.2 d
e c b | 1.2 2.1 3.1 d
e c b | 1.2 2.1 3.2 d
e c b | 1.3 2.1 3.1 d
e c b | 1.3 2.1 3.2 d
e c b | 1.1 2.2 3.1 d
e c b | 1.1 2.2 3.2 d
e c b | 1.2 2.2 3.1 d
e c b | 1.2 2.2 3.2 d
e c b | 1.3 2.2 3.1 d
e c b | 1.3 2.2 3.2 d
e c d | 1.1 2.1 3.1 a
e c d | 1.1 2.1 3.2 a
e c d | 1.2 2.1 3.1 a
e c d | 1.2 2.1 3.2 a
e c d | 1.3 2.1 3.1 a
e c d | 1.3 2.1 3.2 a
e c d | 1.1 2.2 3.1 a
e c d | 1.1 2.2 3.2 a
e c d | 1.2 2.2 3.1 a
e c d | 1.2 2.2 3.2 a
e c d | 1.3 2.2 3.1 a
e c d | 1.3 2.2 3.2 a
e c d | 1.1 2.1 3.1 b
e c d | 1.1 2.1 3.2 b
e c d | 1.2 2.1 3.1 b
e c d | 1.2 2.1 3.2 b
e c d | 1.3 2.1 3.1 b
e c d | 1.3 2.1 3.2 b
e c d | 1.1 2.2 3.1 b
e c d | 1.1 2.2 3.2 b
e c d | 1.2 2.2 3.1 b
e c d | 1.2 2.2 3.2 b
e c d | 1.3 2.2 3.1 b
e c d | 1.3 2.2 3.2 b
e d a | 1.1 2.1 3.1 b
e d a | 1.1 2.1 3.2 b
e d a | 1.2 2.1 3.1 b
e d a | 1.2 2.1 3.2 b
e d a | 1.3 2.1 3.1 b
e d a | 1.3 2.1 3.2 b
e d a | 1.1 2.2 3.1 b
e d a | 1.1 2.2 3.2 b
e d a | 1.2 2.2 3.1 b
e d a | 1.2 2.2 3.2 b
e d a | 1.3 2.2 3.1 b
e d a | 1.3 2.2 3.2 b
e d a | 1.1 2.1 3.1 c
e d a | 1.1 2.1 3.2 c
e d a | 1.2 2.1 3.1 c
e d a | 1.2 2.1 3.2 c
e d a | 1.3 2.1 3.1 c
e d a | 1.3 2.1 3.2 c
e d a | 1.1 2.2 3.1 c
e d a | 1.1 2.2 3.2 c
e d a | 1.2 2.2 3.1 c
e d a | 1.2 2.2 3.2 c
e d a | 1.3 2.2 3.1 c
e d a | 1.3 2.2 3.2 c
e d b | 1.1 2.1 3.1 a
e d b | 1.1 2.1 3.2 a
e d b | 1.2 2.1 3.1 a
e d b | 1.2 2.1 3.2 a
e d b | 1.3 2.1 3.1 a
e d b | 1.3 2.1 3.2 a
e d b | 1.1 2.2 3.1 a
e d b | 1.1 2.2 3.2 a
e d b | 1.2 2.2 3.1 a
e d b | 1.2 2.2 3.2 a
e d b | 1.3 2.2 3.1 a
e d b | 1.3 2.2 3.2 a
e d b | 1.1 2.1 3.1 c
e d b | 1.1 2.1 3.2 c
e d b | 1.2 2.1 3.1 c
e d b | 1.2 2.1 3.2 c
e d b | 1.3 2.1 3.1 c
e d b | 1.3 2.1 3.2 c
e d b | 1.1 2.2 3.1 c
e d b | 1.1 2.2 3.2 c
e d b | 1.2 2.2 3.1 c
e d b | 1.2 2.2 3.2 c
e d b | 1.3 2.2 3.1 c
e d b | 1.3 2.2 3.2 c
e d c | 1.1 2.1 3.1 a
e d c | 1.1 2.1 3.2 a
e d c | 1.2 2.1 3.1 a
e d c | 1.2 2.1 3.2 a
e d c | 1.3 2.1 3.1 a
e d c | 1.3 2.1 3.2 a
e d c | 1.1 2.2 3.1 a
e d c | 1.1 2.2 3.2 a
e d c | 1.2 2.2 3.1 a
e d c | 1.2 2.2 3.2 a
e d c | 1.3 2.2 3.1 a
e d c | 1.3 2.2 3.2 a
e d c | 1.1 2.1 3.1 b
e d c | 1.1 2.1 3.2 b
e d c | 1.2 2.1 3.1 b
e d c | 1.2 2.1 3.2 b
e d c | 1.3 2.1 3.1 b
e d c | 1.3 2.1 3.2 b
e d c | 1.1 2.2 3.1 b
e d c | 1.1 2.2 3.2 b
e d c | 1.2 2.2 3.1 b
e d c | 1.2 2.2 3.2 b
e d c | 1.3 2.2 3.1 b
e d c | 1.3 2.2 3.2 b
